"lenX","lenY","bits","proba"
72,71,8,0.167
72,71,9,0.106
72,71,10,0.084
72,71,11,0.043
72,71,12,0.028
72,71,13,0.02
72,71,14,0.017
72,71,15,0.009
72,71,16,0.005
72,71,17,0
72,71,18,0.002
72,71,19,0.002
72,71,20,0
72,71,21,0.001
72,71,22,0
72,71,23,0
72,71,24,0
72,71,25,0
72,71,26,0
72,71,27,0
72,71,28,0
72,71,29,0
72,71,30,0
72,71,31,0
72,71,32,0
72,70,8,0.373
72,70,9,0.278
72,70,10,0.194
72,70,11,0.142
72,70,12,0.115
72,70,13,0.078
72,70,14,0.057
72,70,15,0.034
72,70,16,0.026
72,70,17,0.021
72,70,18,0.012
72,70,19,0.007
72,70,20,0.005
72,70,21,0.004
72,70,22,0.002
72,70,23,0
72,70,24,0.004
72,70,25,0
72,70,26,0
72,70,27,0
72,70,28,0
72,70,29,0
72,70,30,0
72,70,31,0
72,70,32,0
72,69,8,0.202
72,69,9,0.166
72,69,10,0.12
72,69,11,0.07
72,69,12,0.062
72,69,13,0.026
72,69,14,0.021
72,69,15,0.016
72,69,16,0.015
72,69,17,0.008
72,69,18,0.004
72,69,19,0.007
72,69,20,0.001
72,69,21,0
72,69,22,0.002
72,69,23,0
72,69,24,0
72,69,25,0
72,69,26,0
72,69,27,0
72,69,28,0
72,69,29,0
72,69,30,0
72,69,31,0
72,69,32,0
72,68,8,0.569
72,68,9,0.428
72,68,10,0.326
72,68,11,0.281
72,68,12,0.201
72,68,13,0.147
72,68,14,0.096
72,68,15,0.082
72,68,16,0.062
72,68,17,0.048
72,68,18,0.034
72,68,19,0.03
72,68,20,0.013
72,68,21,0.009
72,68,22,0.007
72,68,23,0.006
72,68,24,0.004
72,68,25,0.002
72,68,26,0
72,68,27,0
72,68,28,0
72,68,29,0
72,68,30,0
72,68,31,0
72,68,32,0
72,67,8,0.204
72,67,9,0.127
72,67,10,0.066
72,67,11,0.065
72,67,12,0.031
72,67,13,0.022
72,67,14,0.022
72,67,15,0.004
72,67,16,0.005
72,67,17,0.004
72,67,18,0.002
72,67,19,0.002
72,67,20,0
72,67,21,0
72,67,22,0
72,67,23,0
72,67,24,0
72,67,25,0
72,67,26,0.001
72,67,27,0
72,67,28,0
72,67,29,0
72,67,30,0
72,67,31,0
72,67,32,0
72,66,8,0.467
72,66,9,0.349
72,66,10,0.271
72,66,11,0.236
72,66,12,0.157
72,66,13,0.106
72,66,14,0.097
72,66,15,0.053
72,66,16,0.057
72,66,17,0.034
72,66,18,0.022
72,66,19,0.026
72,66,20,0.013
72,66,21,0.005
72,66,22,0.008
72,66,23,0.003
72,66,24,0.001
72,66,25,0.002
72,66,26,0.001
72,66,27,0.001
72,66,28,0.001
72,66,29,0.001
72,66,30,0
72,66,31,0
72,66,32,0
72,65,8,0.213
72,65,9,0.111
72,65,10,0.079
72,65,11,0.048
72,65,12,0.033
72,65,13,0.023
72,65,14,0.017
72,65,15,0.005
72,65,16,0.003
72,65,17,0.008
72,65,18,0.002
72,65,19,0.001
72,65,20,0.002
72,65,21,0.001
72,65,22,0
72,65,23,0.001
72,65,24,0
72,65,25,0
72,65,26,0
72,65,27,0
72,65,28,0
72,65,29,0
72,65,30,0
72,65,31,0
72,65,32,0
72,64,8,0.571
72,64,9,0.44
72,64,10,0.368
72,64,11,0.3
72,64,12,0.247
72,64,13,0.169
72,64,14,0.129
72,64,15,0.095
72,64,16,0.083
72,64,17,0.051
72,64,18,0.036
72,64,19,0.025
72,64,20,0.017
72,64,21,0.016
72,64,22,0.005
72,64,23,0.007
72,64,24,0.003
72,64,25,0.008
72,64,26,0.002
72,64,27,0
72,64,28,0.001
72,64,29,0.003
72,64,30,0
72,64,31,0
72,64,32,0.002
72,63,8,0.211
72,63,9,0.181
72,63,10,0.126
72,63,11,0.087
72,63,12,0.072
72,63,13,0.044
72,63,14,0.026
72,63,15,0.014
72,63,16,0.008
72,63,17,0.01
72,63,18,0.002
72,63,19,0.002
72,63,20,0.003
72,63,21,0
72,63,22,0
72,63,23,0
72,63,24,0
72,63,25,0
72,63,26,0
72,63,27,0
72,63,28,0
72,63,29,0
72,63,30,0
72,63,31,0
72,63,32,0
72,62,8,0.434
72,62,9,0.348
72,62,10,0.261
72,62,11,0.227
72,62,12,0.159
72,62,13,0.127
72,62,14,0.088
72,62,15,0.056
72,62,16,0.044
72,62,17,0.023
72,62,18,0.029
72,62,19,0.019
72,62,20,0.009
72,62,21,0.018
72,62,22,0.008
72,62,23,0.003
72,62,24,0.003
72,62,25,0
72,62,26,0.002
72,62,27,0.002
72,62,28,0.001
72,62,29,0
72,62,30,0
72,62,31,0
72,62,32,0
72,61,8,0.205
72,61,9,0.151
72,61,10,0.096
72,61,11,0.063
72,61,12,0.048
72,61,13,0.035
72,61,14,0.025
72,61,15,0.015
72,61,16,0.011
72,61,17,0.006
72,61,18,0.001
72,61,19,0.003
72,61,20,0.003
72,61,21,0.002
72,61,22,0.001
72,61,23,0.001
72,61,24,0
72,61,25,0
72,61,26,0
72,61,27,0.001
72,61,28,0
72,61,29,0
72,61,30,0
72,61,31,0
72,61,32,0
72,60,8,0.707
72,60,9,0.606
72,60,10,0.528
72,60,11,0.424
72,60,12,0.36
72,60,13,0.288
72,60,14,0.259
72,60,15,0.172
72,60,16,0.172
72,60,17,0.124
72,60,18,0.088
72,60,19,0.075
72,60,20,0.059
72,60,21,0.033
72,60,22,0.039
72,60,23,0.024
72,60,24,0.018
72,60,25,0.014
72,60,26,0.013
72,60,27,0.009
72,60,28,0.002
72,60,29,0.006
72,60,30,0.002
72,60,31,0.005
72,60,32,0.002
72,59,8,0.181
72,59,9,0.114
72,59,10,0.078
72,59,11,0.042
72,59,12,0.032
72,59,13,0.031
72,59,14,0.016
72,59,15,0.011
72,59,16,0.002
72,59,17,0.004
72,59,18,0.001
72,59,19,0
72,59,20,0
72,59,21,0.002
72,59,22,0
72,59,23,0.001
72,59,24,0
72,59,25,0
72,59,26,0
72,59,27,0
72,59,28,0
72,59,29,0
72,59,30,0
72,59,31,0
72,59,32,0
72,58,8,0.352
72,58,9,0.278
72,58,10,0.219
72,58,11,0.177
72,58,12,0.118
72,58,13,0.082
72,58,14,0.055
72,58,15,0.047
72,58,16,0.038
72,58,17,0.021
72,58,18,0.013
72,58,19,0.007
72,58,20,0.004
72,58,21,0.007
72,58,22,0.004
72,58,23,0.001
72,58,24,0.003
72,58,25,0.001
72,58,26,0
72,58,27,0
72,58,28,0
72,58,29,0.001
72,58,30,0
72,58,31,0
72,58,32,0
72,57,8,0.223
72,57,9,0.182
72,57,10,0.11
72,57,11,0.06
72,57,12,0.055
72,57,13,0.035
72,57,14,0.043
72,57,15,0.019
72,57,16,0.017
72,57,17,0.006
72,57,18,0.007
72,57,19,0.003
72,57,20,0.001
72,57,21,0.003
72,57,22,0
72,57,23,0
72,57,24,0.001
72,57,25,0
72,57,26,0
72,57,27,0
72,57,28,0
72,57,29,0
72,57,30,0
72,57,31,0
72,57,32,0
72,56,8,0.575
72,56,9,0.456
72,56,10,0.345
72,56,11,0.278
72,56,12,0.228
72,56,13,0.173
72,56,14,0.13
72,56,15,0.1
72,56,16,0.075
72,56,17,0.051
72,56,18,0.04
72,56,19,0.025
72,56,20,0.021
72,56,21,0.02
72,56,22,0.01
72,56,23,0.006
72,56,24,0.006
72,56,25,0.005
72,56,26,0.002
72,56,27,0.001
72,56,28,0.001
72,56,29,0.001
72,56,30,0.001
72,56,31,0
72,56,32,0
72,55,8,0.164
72,55,9,0.119
72,55,10,0.085
72,55,11,0.045
72,55,12,0.037
72,55,13,0.016
72,55,14,0.013
72,55,15,0.01
72,55,16,0
72,55,17,0.008
72,55,18,0.002
72,55,19,0.002
72,55,20,0.001
72,55,21,0.001
72,55,22,0
72,55,23,0
72,55,24,0
72,55,25,0.001
72,55,26,0
72,55,27,0
72,55,28,0
72,55,29,0
72,55,30,0
72,55,31,0
72,55,32,0
72,54,8,0.508
72,54,9,0.413
72,54,10,0.32
72,54,11,0.263
72,54,12,0.217
72,54,13,0.171
72,54,14,0.132
72,54,15,0.086
72,54,16,0.074
72,54,17,0.056
72,54,18,0.042
72,54,19,0.031
72,54,20,0.023
72,54,21,0.019
72,54,22,0.016
72,54,23,0.01
72,54,24,0.005
72,54,25,0.002
72,54,26,0.002
72,54,27,0.006
72,54,28,0.003
72,54,29,0.002
72,54,30,0.001
72,54,31,0.001
72,54,32,0.001
72,53,8,0.169
72,53,9,0.126
72,53,10,0.065
72,53,11,0.042
72,53,12,0.034
72,53,13,0.016
72,53,14,0.01
72,53,15,0.008
72,53,16,0.005
72,53,17,0.003
72,53,18,0
72,53,19,0.002
72,53,20,0
72,53,21,0
72,53,22,0.001
72,53,23,0
72,53,24,0
72,53,25,0
72,53,26,0
72,53,27,0
72,53,28,0
72,53,29,0
72,53,30,0
72,53,31,0
72,53,32,0
72,52,8,0.634
72,52,9,0.554
72,52,10,0.45
72,52,11,0.38
72,52,12,0.296
72,52,13,0.246
72,52,14,0.206
72,52,15,0.141
72,52,16,0.121
72,52,17,0.086
72,52,18,0.071
72,52,19,0.053
72,52,20,0.044
72,52,21,0.034
72,52,22,0.024
72,52,23,0.015
72,52,24,0.011
72,52,25,0.014
72,52,26,0.005
72,52,27,0.001
72,52,28,0.003
72,52,29,0.001
72,52,30,0.003
72,52,31,0.001
72,52,32,0.002
72,51,8,0.235
72,51,9,0.179
72,51,10,0.099
72,51,11,0.078
72,51,12,0.051
72,51,13,0.04
72,51,14,0.023
72,51,15,0.026
72,51,16,0.014
72,51,17,0.012
72,51,18,0.007
72,51,19,0.005
72,51,20,0.002
72,51,21,0.004
72,51,22,0.002
72,51,23,0.003
72,51,24,0
72,51,25,0
72,51,26,0.001
72,51,27,0
72,51,28,0
72,51,29,0
72,51,30,0
72,51,31,0
72,51,32,0
72,50,8,0.401
72,50,9,0.311
72,50,10,0.25
72,50,11,0.17
72,50,12,0.145
72,50,13,0.094
72,50,14,0.075
72,50,15,0.036
72,50,16,0.038
72,50,17,0.03
72,50,18,0.019
72,50,19,0.015
72,50,20,0.006
72,50,21,0.003
72,50,22,0.004
72,50,23,0.002
72,50,24,0.003
72,50,25,0.001
72,50,26,0
72,50,27,0
72,50,28,0.001
72,50,29,0.001
72,50,30,0
72,50,31,0
72,50,32,0
72,49,8,0.192
72,49,9,0.131
72,49,10,0.068
72,49,11,0.059
72,49,12,0.044
72,49,13,0.02
72,49,14,0.009
72,49,15,0.012
72,49,16,0.004
72,49,17,0
72,49,18,0.001
72,49,19,0
72,49,20,0.001
72,49,21,0
72,49,22,0.001
72,49,23,0
72,49,24,0
72,49,25,0
72,49,26,0
72,49,27,0
72,49,28,0
72,49,29,0
72,49,30,0
72,49,31,0
72,49,32,0
72,48,8,0.688
72,48,9,0.627
72,48,10,0.549
72,48,11,0.509
72,48,12,0.417
72,48,13,0.289
72,48,14,0.286
72,48,15,0.206
72,48,16,0.169
72,48,17,0.168
72,48,18,0.122
72,48,19,0.099
72,48,20,0.083
72,48,21,0.056
72,48,22,0.043
72,48,23,0.044
72,48,24,0.03
72,48,25,0.02
72,48,26,0.018
72,48,27,0.01
72,48,28,0.007
72,48,29,0.007
72,48,30,0.005
72,48,31,0.005
72,48,32,0.004
72,47,8,0.198
72,47,9,0.143
72,47,10,0.082
72,47,11,0.054
72,47,12,0.032
72,47,13,0.026
72,47,14,0.015
72,47,15,0.007
72,47,16,0.007
72,47,17,0.002
72,47,18,0.002
72,47,19,0.001
72,47,20,0
72,47,21,0.001
72,47,22,0
72,47,23,0
72,47,24,0
72,47,25,0.001
72,47,26,0
72,47,27,0
72,47,28,0
72,47,29,0
72,47,30,0
72,47,31,0
72,47,32,0
72,46,8,0.391
72,46,9,0.28
72,46,10,0.224
72,46,11,0.142
72,46,12,0.106
72,46,13,0.091
72,46,14,0.039
72,46,15,0.039
72,46,16,0.027
72,46,17,0.017
72,46,18,0.009
72,46,19,0.004
72,46,20,0.008
72,46,21,0.002
72,46,22,0.002
72,46,23,0.001
72,46,24,0.001
72,46,25,0.001
72,46,26,0
72,46,27,0.001
72,46,28,0
72,46,29,0
72,46,30,0
72,46,31,0
72,46,32,0
72,45,8,0.209
72,45,9,0.171
72,45,10,0.136
72,45,11,0.073
72,45,12,0.064
72,45,13,0.046
72,45,14,0.026
72,45,15,0.02
72,45,16,0.013
72,45,17,0.007
72,45,18,0.006
72,45,19,0.003
72,45,20,0.003
72,45,21,0.001
72,45,22,0.001
72,45,23,0.002
72,45,24,0
72,45,25,0.001
72,45,26,0
72,45,27,0
72,45,28,0
72,45,29,0
72,45,30,0
72,45,31,0
72,45,32,0
72,44,8,0.601
72,44,9,0.443
72,44,10,0.389
72,44,11,0.323
72,44,12,0.23
72,44,13,0.195
72,44,14,0.16
72,44,15,0.109
72,44,16,0.092
72,44,17,0.058
72,44,18,0.05
72,44,19,0.035
72,44,20,0.02
72,44,21,0.015
72,44,22,0.013
72,44,23,0.015
72,44,24,0.005
72,44,25,0.004
72,44,26,0.004
72,44,27,0
72,44,28,0.005
72,44,29,0
72,44,30,0
72,44,31,0.001
72,44,32,0
72,43,8,0.204
72,43,9,0.137
72,43,10,0.088
72,43,11,0.036
72,43,12,0.04
72,43,13,0.015
72,43,14,0.01
72,43,15,0.014
72,43,16,0.007
72,43,17,0.006
72,43,18,0.001
72,43,19,0.001
72,43,20,0
72,43,21,0
72,43,22,0
72,43,23,0
72,43,24,0
72,43,25,0
72,43,26,0
72,43,27,0
72,43,28,0
72,43,29,0
72,43,30,0
72,43,31,0
72,43,32,0
72,42,8,0.504
72,42,9,0.441
72,42,10,0.367
72,42,11,0.309
72,42,12,0.255
72,42,13,0.207
72,42,14,0.144
72,42,15,0.123
72,42,16,0.092
72,42,17,0.057
72,42,18,0.057
72,42,19,0.035
72,42,20,0.034
72,42,21,0.025
72,42,22,0.012
72,42,23,0.005
72,42,24,0.005
72,42,25,0.008
72,42,26,0.005
72,42,27,0.006
72,42,28,0.001
72,42,29,0.001
72,42,30,0.001
72,42,31,0.001
72,42,32,0
72,41,8,0.209
72,41,9,0.126
72,41,10,0.076
72,41,11,0.05
72,41,12,0.038
72,41,13,0.021
72,41,14,0.013
72,41,15,0.007
72,41,16,0.001
72,41,17,0.001
72,41,18,0.001
72,41,19,0.001
72,41,20,0.004
72,41,21,0.003
72,41,22,0
72,41,23,0
72,41,24,0
72,41,25,0
72,41,26,0
72,41,27,0
72,41,28,0
72,41,29,0
72,41,30,0
72,41,31,0
72,41,32,0
72,40,8,0.54
72,40,9,0.468
72,40,10,0.382
72,40,11,0.286
72,40,12,0.225
72,40,13,0.197
72,40,14,0.137
72,40,15,0.094
72,40,16,0.062
72,40,17,0.048
72,40,18,0.039
72,40,19,0.03
72,40,20,0.019
72,40,21,0.005
72,40,22,0.006
72,40,23,0.01
72,40,24,0.004
72,40,25,0.004
72,40,26,0.004
72,40,27,0.005
72,40,28,0.002
72,40,29,0.001
72,40,30,0.001
72,40,31,0
72,40,32,0
72,39,8,0.275
72,39,9,0.187
72,39,10,0.143
72,39,11,0.082
72,39,12,0.076
72,39,13,0.048
72,39,14,0.036
72,39,15,0.018
72,39,16,0.018
72,39,17,0.011
72,39,18,0.008
72,39,19,0.001
72,39,20,0.002
72,39,21,0.004
72,39,22,0.001
72,39,23,0.001
72,39,24,0.001
72,39,25,0
72,39,26,0
72,39,27,0
72,39,28,0
72,39,29,0
72,39,30,0
72,39,31,0
72,39,32,0
72,38,8,0.344
72,38,9,0.265
72,38,10,0.217
72,38,11,0.148
72,38,12,0.1
72,38,13,0.075
72,38,14,0.043
72,38,15,0.022
72,38,16,0.033
72,38,17,0.015
72,38,18,0.009
72,38,19,0.009
72,38,20,0.004
72,38,21,0
72,38,22,0
72,38,23,0.002
72,38,24,0
72,38,25,0
72,38,26,0
72,38,27,0.001
72,38,28,0
72,38,29,0
72,38,30,0
72,38,31,0
72,38,32,0
72,37,8,0.198
72,37,9,0.134
72,37,10,0.08
72,37,11,0.068
72,37,12,0.061
72,37,13,0.024
72,37,14,0.022
72,37,15,0.013
72,37,16,0.006
72,37,17,0.006
72,37,18,0.003
72,37,19,0.003
72,37,20,0.001
72,37,21,0
72,37,22,0.001
72,37,23,0.001
72,37,24,0
