"lenX","lenY","bits","proba"
76,75,8,0.127
76,75,9,0.101
76,75,10,0.066
76,75,11,0.043
76,75,12,0.024
76,75,13,0.019
76,75,14,0.011
76,75,15,0.006
76,75,16,0.003
76,75,17,0.002
76,75,18,0.003
76,75,19,0.001
76,75,20,0
76,75,21,0.001
76,75,22,0
76,75,23,0
76,75,24,0
76,75,25,0
76,75,26,0
76,75,27,0
76,75,28,0
76,75,29,0
76,75,30,0
76,75,31,0
76,75,32,0
76,74,8,0.412
76,74,9,0.313
76,74,10,0.211
76,74,11,0.155
76,74,12,0.105
76,74,13,0.073
76,74,14,0.05
76,74,15,0.046
76,74,16,0.023
76,74,17,0.011
76,74,18,0.013
76,74,19,0.009
76,74,20,0.008
76,74,21,0.001
76,74,22,0.003
76,74,23,0.001
76,74,24,0.001
76,74,25,0
76,74,26,0
76,74,27,0
76,74,28,0
76,74,29,0
76,74,30,0
76,74,31,0
76,74,32,0
76,73,8,0.205
76,73,9,0.169
76,73,10,0.106
76,73,11,0.071
76,73,12,0.054
76,73,13,0.041
76,73,14,0.032
76,73,15,0.015
76,73,16,0.01
76,73,17,0.01
76,73,18,0.005
76,73,19,0.002
76,73,20,0.002
76,73,21,0
76,73,22,0
76,73,23,0
76,73,24,0
76,73,25,0
76,73,26,0
76,73,27,0
76,73,28,0
76,73,29,0
76,73,30,0
76,73,31,0
76,73,32,0
76,72,8,0.479
76,72,9,0.385
76,72,10,0.299
76,72,11,0.224
76,72,12,0.166
76,72,13,0.106
76,72,14,0.094
76,72,15,0.069
76,72,16,0.045
76,72,17,0.029
76,72,18,0.024
76,72,19,0.012
76,72,20,0.015
76,72,21,0.009
76,72,22,0.004
76,72,23,0.004
76,72,24,0
76,72,25,0
76,72,26,0.001
76,72,27,0.001
76,72,28,0.002
76,72,29,0
76,72,30,0
76,72,31,0
76,72,32,0
76,71,8,0.138
76,71,9,0.078
76,71,10,0.081
76,71,11,0.046
76,71,12,0.028
76,71,13,0.013
76,71,14,0.006
76,71,15,0.003
76,71,16,0.004
76,71,17,0.002
76,71,18,0.002
76,71,19,0
76,71,20,0.002
76,71,21,0.001
76,71,22,0
76,71,23,0.001
76,71,24,0
76,71,25,0
76,71,26,0.001
76,71,27,0
76,71,28,0
76,71,29,0
76,71,30,0
76,71,31,0
76,71,32,0
76,70,8,0.524
76,70,9,0.432
76,70,10,0.352
76,70,11,0.255
76,70,12,0.242
76,70,13,0.164
76,70,14,0.112
76,70,15,0.091
76,70,16,0.062
76,70,17,0.043
76,70,18,0.027
76,70,19,0.021
76,70,20,0.014
76,70,21,0.015
76,70,22,0.013
76,70,23,0.01
76,70,24,0.004
76,70,25,0.005
76,70,26,0.003
76,70,27,0.002
76,70,28,0
76,70,29,0
76,70,30,0.001
76,70,31,0.001
76,70,32,0
76,69,8,0.176
76,69,9,0.101
76,69,10,0.079
76,69,11,0.044
76,69,12,0.025
76,69,13,0.014
76,69,14,0.003
76,69,15,0.006
76,69,16,0.004
76,69,17,0.003
76,69,18,0.001
76,69,19,0.001
76,69,20,0
76,69,21,0
76,69,22,0
76,69,23,0
76,69,24,0
76,69,25,0
76,69,26,0
76,69,27,0
76,69,28,0
76,69,29,0
76,69,30,0
76,69,31,0
76,69,32,0
76,68,8,0.491
76,68,9,0.398
76,68,10,0.292
76,68,11,0.237
76,68,12,0.176
76,68,13,0.145
76,68,14,0.102
76,68,15,0.077
76,68,16,0.047
76,68,17,0.043
76,68,18,0.035
76,68,19,0.026
76,68,20,0.012
76,68,21,0.011
76,68,22,0.011
76,68,23,0.003
76,68,24,0.005
76,68,25,0.002
76,68,26,0.002
76,68,27,0.001
76,68,28,0
76,68,29,0
76,68,30,0.001
76,68,31,0.002
76,68,32,0
76,67,8,0.211
76,67,9,0.146
76,67,10,0.109
76,67,11,0.072
76,67,12,0.065
76,67,13,0.029
76,67,14,0.027
76,67,15,0.017
76,67,16,0.007
76,67,17,0.009
76,67,18,0.003
76,67,19,0.002
76,67,20,0.002
76,67,21,0.001
76,67,22,0.002
76,67,23,0
76,67,24,0.001
76,67,25,0.001
76,67,26,0
76,67,27,0
76,67,28,0
76,67,29,0
76,67,30,0
76,67,31,0
76,67,32,0
76,66,8,0.476
76,66,9,0.376
76,66,10,0.287
76,66,11,0.225
76,66,12,0.191
76,66,13,0.144
76,66,14,0.1
76,66,15,0.08
76,66,16,0.049
76,66,17,0.038
76,66,18,0.028
76,66,19,0.025
76,66,20,0.012
76,66,21,0.005
76,66,22,0.004
76,66,23,0.006
76,66,24,0.001
76,66,25,0.006
76,66,26,0
76,66,27,0.001
76,66,28,0.001
76,66,29,0
76,66,30,0
76,66,31,0
76,66,32,0
76,65,8,0.177
76,65,9,0.118
76,65,10,0.088
76,65,11,0.05
76,65,12,0.027
76,65,13,0.023
76,65,14,0.015
76,65,15,0.015
76,65,16,0.005
76,65,17,0.006
76,65,18,0.001
76,65,19,0.001
76,65,20,0
76,65,21,0.002
76,65,22,0
76,65,23,0
76,65,24,0
76,65,25,0
76,65,26,0
76,65,27,0
76,65,28,0
76,65,29,0
76,65,30,0
76,65,31,0
76,65,32,0
76,64,8,0.698
76,64,9,0.58
76,64,10,0.511
76,64,11,0.433
76,64,12,0.344
76,64,13,0.278
76,64,14,0.221
76,64,15,0.193
76,64,16,0.151
76,64,17,0.105
76,64,18,0.09
76,64,19,0.079
76,64,20,0.062
76,64,21,0.038
76,64,22,0.033
76,64,23,0.02
76,64,24,0.017
76,64,25,0.01
76,64,26,0.011
76,64,27,0.012
76,64,28,0.004
76,64,29,0.003
76,64,30,0.003
76,64,31,0
76,64,32,0.003
76,63,8,0.133
76,63,9,0.108
76,63,10,0.073
76,63,11,0.031
76,63,12,0.025
76,63,13,0.018
76,63,14,0.009
76,63,15,0.003
76,63,16,0.001
76,63,17,0.001
76,63,18,0.001
76,63,19,0.002
76,63,20,0
76,63,21,0
76,63,22,0.001
76,63,23,0
76,63,24,0
76,63,25,0
76,63,26,0
76,63,27,0
76,63,28,0
76,63,29,0
76,63,30,0
76,63,31,0
76,63,32,0
76,62,8,0.429
76,62,9,0.306
76,62,10,0.223
76,62,11,0.183
76,62,12,0.126
76,62,13,0.089
76,62,14,0.071
76,62,15,0.049
76,62,16,0.039
76,62,17,0.021
76,62,18,0.015
76,62,19,0.013
76,62,20,0.014
76,62,21,0.005
76,62,22,0.002
76,62,23,0.004
76,62,24,0
76,62,25,0
76,62,26,0
76,62,27,0.001
76,62,28,0
76,62,29,0
76,62,30,0
76,62,31,0
76,62,32,0
76,61,8,0.193
76,61,9,0.161
76,61,10,0.117
76,61,11,0.068
76,61,12,0.058
76,61,13,0.032
76,61,14,0.026
76,61,15,0.015
76,61,16,0.013
76,61,17,0.008
76,61,18,0.006
76,61,19,0.002
76,61,20,0.001
76,61,21,0.001
76,61,22,0.003
76,61,23,0.001
76,61,24,0
76,61,25,0
76,61,26,0
76,61,27,0
76,61,28,0
76,61,29,0
76,61,30,0
76,61,31,0
76,61,32,0
76,60,8,0.487
76,60,9,0.398
76,60,10,0.305
