lenX,lenY,bits,proba
68,67,8,0.128
68,67,9,0.091
68,67,10,0.071
68,67,11,0.034
68,67,12,0.022
68,67,13,0.012
68,67,14,0.006
68,67,15,0.003
68,67,16,0.001
68,67,17,0.002
68,67,18,0.0
68,67,19,0.0
68,67,20,0.0
68,67,21,0.0
68,67,22,0.0
68,67,23,0.0
68,67,24,0.001
68,67,25,0.0
68,67,26,0.0
68,67,27,0.0
68,67,28,0.0
68,67,29,0.0
68,67,30,0.0
68,67,31,0.0
68,67,32,0.0
68,66,8,0.28
68,66,9,0.192
68,66,10,0.16
68,66,11,0.093
68,66,12,0.07
68,66,13,0.041
68,66,14,0.023
68,66,15,0.022
68,66,16,0.018
68,66,17,0.004
68,66,18,0.003
68,66,19,0.003
68,66,20,0.001
68,66,21,0.001
68,66,22,0.0
68,66,23,0.0
68,66,24,0.0
68,66,25,0.001
68,66,26,0.0
68,66,27,0.0
68,66,28,0.0
68,66,29,0.0
68,66,30,0.0
68,66,31,0.0
68,66,32,0.0
68,65,8,0.17
68,65,9,0.129
68,65,10,0.089
68,65,11,0.064
68,65,12,0.037
68,65,13,0.022
68,65,14,0.023
68,65,15,0.012
68,65,16,0.003
68,65,17,0.005
68,65,18,0.004
68,65,19,0.003
68,65,20,0.001
68,65,21,0.0
68,65,22,0.001
68,65,23,0.001
68,65,24,0.0
68,65,25,0.0
68,65,26,0.0
68,65,27,0.0
68,65,28,0.0
68,65,29,0.0
68,65,30,0.0
68,65,31,0.0
68,65,32,0.0
68,64,8,0.454
68,64,9,0.344
68,64,10,0.248
68,64,11,0.204
68,64,12,0.139
68,64,13,0.106
68,64,14,0.075
68,64,15,0.058
68,64,16,0.036
68,64,17,0.029
68,64,18,0.01
68,64,19,0.013
68,64,20,0.015
68,64,21,0.008
68,64,22,0.005
68,64,23,0.001
68,64,24,0.004
68,64,25,0.001
68,64,26,0.001
68,64,27,0.002
68,64,28,0.0
68,64,29,0.0
68,64,30,0.0
68,64,31,0.0
68,64,32,0.0
68,63,8,0.155
68,63,9,0.094
68,63,10,0.057
68,63,11,0.028
68,63,12,0.024
68,63,13,0.013
68,63,14,0.013
68,63,15,0.008
68,63,16,0.004
68,63,17,0.003
68,63,18,0.0
68,63,19,0.0
68,63,20,0.0
68,63,21,0.001
68,63,22,0.0
68,63,23,0.001
68,63,24,0.0
68,63,25,0.0
68,63,26,0.0
68,63,27,0.0
68,63,28,0.0
68,63,29,0.0
68,63,30,0.0
68,63,31,0.0
68,63,32,0.0
68,62,8,0.468
68,62,9,0.351
68,62,10,0.287
68,62,11,0.212
68,62,12,0.166
68,62,13,0.132
68,62,14,0.094
68,62,15,0.058
68,62,16,0.041
68,62,17,0.04
68,62,18,0.024
68,62,19,0.015
68,62,20,0.015
68,62,21,0.011
68,62,22,0.004
68,62,23,0.001
68,62,24,0.002
68,62,25,0.002
68,62,26,0.0
68,62,27,0.0
68,62,28,0.003
68,62,29,0.0
68,62,30,0.0
68,62,31,0.0
68,62,32,0.0
68,61,8,0.149
68,61,9,0.101
68,61,10,0.059
68,61,11,0.034
68,61,12,0.014
68,61,13,0.013
68,61,14,0.012
68,61,15,0.008
68,61,16,0.006
68,61,17,0.001
68,61,18,0.001
68,61,19,0.001
68,61,20,0.001
68,61,21,0.0
68,61,22,0.0
68,61,23,0.0
68,61,24,0.0
68,61,25,0.0
68,61,26,0.0
68,61,27,0.0
68,61,28,0.0
68,61,29,0.0
68,61,30,0.0
68,61,31,0.0
68,61,32,0.0
68,60,8,0.47
68,60,9,0.345
68,60,10,0.322
68,60,11,0.219
68,60,12,0.169
68,60,13,0.142
68,60,14,0.096
68,60,15,0.063
68,60,16,0.056
68,60,17,0.041
68,60,18,0.021
68,60,19,0.023
68,60,20,0.017
68,60,21,0.005
68,60,22,0.003
68,60,23,0.006
68,60,24,0.004
68,60,25,0.0
68,60,26,0.002
68,60,27,0.001
68,60,28,0.0
68,60,29,0.0
68,60,30,0.0
68,60,31,0.0
68,60,32,0.001
68,59,8,0.174
68,59,9,0.131
68,59,10,0.086
68,59,11,0.056
68,59,12,0.048
68,59,13,0.037
68,59,14,0.014
68,59,15,0.011
68,59,16,0.004
68,59,17,0.002
68,59,18,0.006
68,59,19,0.004
68,59,20,0.001
68,59,21,0.0
68,59,22,0.0
68,59,23,0.0
68,59,24,0.0
68,59,25,0.0
68,59,26,0.0
68,59,27,0.0
68,59,28,0.0
68,59,29,0.0
68,59,30,0.0
68,59,31,0.0
68,59,32,0.0
68,58,8,0.334
68,58,9,0.289
68,58,10,0.193
68,58,11,0.131
68,58,12,0.091
68,58,13,0.086
68,58,14,0.049
68,58,15,0.041
68,58,16,0.021
68,58,17,0.025
68,58,18,0.006
68,58,19,0.007
68,58,20,0.003
68,58,21,0.006
68,58,22,0.002
68,58,23,0.002
68,58,24,0.003
68,58,25,0.0
68,58,26,0.0
68,58,27,0.0
68,58,28,0.001
68,58,29,0.0
68,58,30,0.0
68,58,31,0.0
68,58,32,0.0
68,57,8,0.163
68,57,9,0.11
68,57,10,0.096
68,57,11,0.034
68,57,12,0.024
68,57,13,0.024
68,57,14,0.011
68,57,15,0.011
68,57,16,0.006
68,57,17,0.005
68,57,18,0.003
68,57,19,0.002
68,57,20,0.001
68,57,21,0.0
68,57,22,0.0
68,57,23,0.0
68,57,24,0.0
68,57,25,0.0
68,57,26,0.0
68,57,27,0.0
68,57,28,0.0
68,57,29,0.0
68,57,30,0.0
68,57,31,0.0
68,57,32,0.0
68,56,8,0.681
68,56,9,0.555
68,56,10,0.516
68,56,11,0.448
68,56,12,0.37
68,56,13,0.27
68,56,14,0.238
68,56,15,0.172
68,56,16,0.135
68,56,17,0.1
68,56,18,0.076
68,56,19,0.081
68,56,20,0.06
68,56,21,0.055
68,56,22,0.036
68,56,23,0.03
68,56,24,0.018
68,56,25,0.008
68,56,26,0.006
68,56,27,0.006
68,56,28,0.006
68,56,29,0.004
68,56,30,0.005
68,56,31,0.0
68,56,32,0.002
68,55,8,0.157
68,55,9,0.096
68,55,10,0.058
68,55,11,0.045
68,55,12,0.018
68,55,13,0.02
68,55,14,0.01
68,55,15,0.004
68,55,16,0.001
68,55,17,0.002
68,55,18,0.001
68,55,19,0.001
68,55,20,0.003
68,55,21,0.0
68,55,22,0.0
68,55,23,0.0
68,55,24,0.0
68,55,25,0.0
68,55,26,0.0
68,55,27,0.0
68,55,28,0.0
68,55,29,0.0
68,55,30,0.0
68,55,31,0.0
68,55,32,0.0
68,54,8,0.267
68,54,9,0.208
68,54,10,0.148
68,54,11,0.11
68,54,12,0.083
68,54,13,0.047
68,54,14,0.032
68,54,15,0.031
68,54,16,0.017
68,54,17,0.009
68,54,18,0.009
68,54,19,0.003
68,54,20,0.002
68,54,21,0.004
68,54,22,0.002
68,54,23,0.001
68,54,24,0.001
68,54,25,0.0
68,54,26,0.0
68,54,27,0.001
68,54,28,0.0
68,54,29,0.0
68,54,30,0.0
68,54,31,0.0
68,54,32,0.0
68,53,8,0.166
68,53,9,0.124
68,53,10,0.085
68,53,11,0.057
68,53,12,0.047
68,53,13,0.029
68,53,14,0.024
68,53,15,0.013
68,53,16,0.01
68,53,17,0.005
68,53,18,0.006
68,53,19,0.002
68,53,20,0.001
68,53,21,0.002
68,53,22,0.001
68,53,23,0.002
68,53,24,0.0
68,53,25,0.0
68,53,26,0.0
68,53,27,0.0
68,53,28,0.0
68,53,29,0.0
68,53,30,0.0
68,53,31,0.0
68,53,32,0.0
68,52,8,0.463
68,52,9,0.37
68,52,10,0.308
68,52,11,0.21
68,52,12,0.175
68,52,13,0.133
