lenX,lenY,bits,proba
81,80,8,0.114
81,80,9,0.071
81,80,10,0.041
81,80,11,0.027
81,80,12,0.016
81,80,13,0.007
81,80,14,0.007
81,80,15,0.006
81,80,16,0.001
81,80,17,0.001
81,80,18,0.0
81,80,19,0.0
81,80,20,0.001
81,80,21,0.0
81,80,22,0.0
81,80,23,0.0
81,80,24,0.0
81,80,25,0.0
81,80,26,0.0
81,80,27,0.0
81,80,28,0.0
81,80,29,0.0
81,80,30,0.0
81,80,31,0.0
81,80,32,0.0
81,79,8,0.277
81,79,9,0.202
81,79,10,0.156
81,79,11,0.101
81,79,12,0.062
81,79,13,0.042
81,79,14,0.026
81,79,15,0.027
81,79,16,0.012
81,79,17,0.008
81,79,18,0.004
81,79,19,0.001
81,79,20,0.003
81,79,21,0.001
81,79,22,0.0
81,79,23,0.001
81,79,24,0.0
81,79,25,0.0
81,79,26,0.0
81,79,27,0.0
81,79,28,0.0
81,79,29,0.0
81,79,30,0.0
81,79,31,0.0
81,79,32,0.0
81,78,8,0.125
81,78,9,0.091
81,78,10,0.058
81,78,11,0.035
81,78,12,0.027
81,78,13,0.017
81,78,14,0.009
81,78,15,0.011
81,78,16,0.002
81,78,17,0.005
81,78,18,0.001
81,78,19,0.001
81,78,20,0.0
81,78,21,0.0
81,78,22,0.0
81,78,23,0.0
81,78,24,0.0
81,78,25,0.0
81,78,26,0.0
81,78,27,0.0
81,78,28,0.0
81,78,29,0.0
81,78,30,0.0
81,78,31,0.0
81,78,32,0.0
81,77,8,0.496
81,77,9,0.395
81,77,10,0.316
81,77,11,0.224
81,77,12,0.181
81,77,13,0.096
81,77,14,0.096
81,77,15,0.083
81,77,16,0.041
81,77,17,0.035
81,77,18,0.018
81,77,19,0.024
81,77,20,0.017
81,77,21,0.009
81,77,22,0.004
81,77,23,0.004
81,77,24,0.005
81,77,25,0.0
81,77,26,0.001
81,77,27,0.002
81,77,28,0.0
81,77,29,0.0
81,77,30,0.003
81,77,31,0.0
81,77,32,0.0
81,76,8,0.101
81,76,9,0.071
81,76,10,0.058
81,76,11,0.023
81,76,12,0.02
81,76,13,0.008
81,76,14,0.009
81,76,15,0.008
81,76,16,0.003
81,76,17,0.006
81,76,18,0.002
81,76,19,0.002
81,76,20,0.0
81,76,21,0.001
81,76,22,0.001
81,76,23,0.0
81,76,24,0.0
81,76,25,0.0
81,76,26,0.0
81,76,27,0.0
81,76,28,0.0
81,76,29,0.0
81,76,30,0.0
81,76,31,0.0
81,76,32,0.0
81,75,8,0.404
81,75,9,0.334
81,75,10,0.253
81,75,11,0.199
81,75,12,0.147
81,75,13,0.116
81,75,14,0.104
81,75,15,0.07
81,75,16,0.05
81,75,17,0.039
81,75,18,0.018
81,75,19,0.02
81,75,20,0.013
81,75,21,0.011
81,75,22,0.008
81,75,23,0.001
81,75,24,0.003
81,75,25,0.003
81,75,26,0.0
81,75,27,0.0
81,75,28,0.002
81,75,29,0.001
81,75,30,0.001
81,75,31,0.0
81,75,32,0.0
81,74,8,0.139
81,74,9,0.066
81,74,10,0.048
81,74,11,0.04
81,74,12,0.019
81,74,13,0.011
81,74,14,0.009
81,74,15,0.005
81,74,16,0.004
81,74,17,0.003
81,74,18,0.002
81,74,19,0.001
81,74,20,0.001
81,74,21,0.0
81,74,22,0.0
81,74,23,0.0
81,74,24,0.0
81,74,25,0.0
81,74,26,0.0
81,74,27,0.0
81,74,28,0.0
81,74,29,0.0
81,74,30,0.0
81,74,31,0.0
81,74,32,0.0
81,73,8,0.496
81,73,9,0.425
81,73,10,0.342
81,73,11,0.245
81,73,12,0.193
81,73,13,0.153
81,73,14,0.117
81,73,15,0.09
81,73,16,0.053
81,73,17,0.043
81,73,18,0.04
81,73,19,0.027
81,73,20,0.019
81,73,21,0.007
81,73,22,0.007
81,73,23,0.001
81,73,24,0.005
81,73,25,0.002
81,73,26,0.0
