lenX,lenY,bits,proba
83,82,8,0.148
83,82,9,0.086
83,82,10,0.052
83,82,11,0.04
83,82,12,0.021
83,82,13,0.009
83,82,14,0.007
83,82,15,0.007
83,82,16,0.002
83,82,17,0.003
83,82,18,0.002
83,82,19,0.0
83,82,20,0.0
83,82,21,0.0
83,82,22,0.0
83,82,23,0.0
83,82,24,0.0
83,82,25,0.0
83,82,26,0.0
83,82,27,0.0
83,82,28,0.0
83,82,29,0.0
83,82,30,0.0
83,82,31,0.0
83,82,32,0.0
83,81,8,0.319
83,81,9,0.221
83,81,10,0.17
83,81,11,0.117
83,81,12,0.09
83,81,13,0.055
83,81,14,0.043
83,81,15,0.027
83,81,16,0.021
83,81,17,0.014
83,81,18,0.004
83,81,19,0.003
83,81,20,0.003
83,81,21,0.002
83,81,22,0.001
83,81,23,0.001
83,81,24,0.0
83,81,25,0.0
83,81,26,0.0
83,81,27,0.0
83,81,28,0.0
83,81,29,0.0
83,81,30,0.0
83,81,31,0.0
83,81,32,0.0
83,80,8,0.167
83,80,9,0.131
83,80,10,0.087
83,80,11,0.057
83,80,12,0.045
83,80,13,0.028
83,80,14,0.023
83,80,15,0.008
83,80,16,0.006
83,80,17,0.008
83,80,18,0.005
83,80,19,0.003
83,80,20,0.002
83,80,21,0.0
83,80,22,0.0
83,80,23,0.0
83,80,24,0.0
83,80,25,0.0
83,80,26,0.0
83,80,27,0.0
83,80,28,0.0
83,80,29,0.0
83,80,30,0.0
83,80,31,0.0
83,80,32,0.0
83,79,8,0.519
83,79,9,0.417
83,79,10,0.3
83,79,11,0.241
83,79,12,0.185
83,79,13,0.124
83,79,14,0.105
83,79,15,0.064
83,79,16,0.051
83,79,17,0.042
83,79,18,0.03
83,79,19,0.015
83,79,20,0.013
83,79,21,0.008
83,79,22,0.005
83,79,23,0.005
83,79,24,0.006
83,79,25,0.001
83,79,26,0.001
83,79,27,0.0
83,79,28,0.0
83,79,29,0.0
83,79,30,0.0
83,79,31,0.001
83,79,32,0.0
83,78,8,0.147
83,78,9,0.105
83,78,10,0.064
83,78,11,0.039
83,78,12,0.025
83,78,13,0.021
83,78,14,0.002
83,78,15,0.004
83,78,16,0.002
83,78,17,0.001
83,78,18,0.002
83,78,19,0.0
83,78,20,0.0
83,78,21,0.0
83,78,22,0.0
83,78,23,0.0
83,78,24,0.0
83,78,25,0.0
83,78,26,0.0
83,78,27,0.0
83,78,28,0.0
83,78,29,0.0
83,78,30,0.0
83,78,31,0.0
83,78,32,0.0
83,77,8,0.475
83,77,9,0.36
83,77,10,0.292
83,77,11,0.225
83,77,12,0.18
83,77,13,0.121
83,77,14,0.103
83,77,15,0.071
83,77,16,0.04
83,77,17,0.046
83,77,18,0.033
83,77,19,0.02
83,77,20,0.009
83,77,21,0.007
83,77,22,0.01
83,77,23,0.004
83,77,24,0.003
83,77,25,0.001
83,77,26,0.002
83,77,27,0.002
83,77,28,0.0
83,77,29,0.001
83,77,30,0.0
83,77,31,0.0
83,77,32,0.0
83,76,8,0.135
83,76,9,0.079
83,76,10,0.055
83,76,11,0.041
83,76,12,0.026
83,76,13,0.016
83,76,14,0.009
83,76,15,0.003
83,76,16,0.002
83,76,17,0.002
83,76,18,0.003
83,76,19,0.0
83,76,20,0.001
83,76,21,0.0
83,76,22,0.0
83,76,23,0.0
83,76,24,0.0
83,76,25,0.0
83,76,26,0.0
83,76,27,0.0
83,76,28,0.0
83,76,29,0.0
83,76,30,0.0
83,76,31,0.0
83,76,32,0.0
83,75,8,0.553
83,75,9,0.458
83,75,10,0.374
83,75,11,0.274
83,75,12,0.224
83,75,13,0.149
83,75,14,0.136
83,75,15,0.099
83,75,16,0.077
83,75,17,0.055
83,75,18,0.036
83,75,19,0.024
83,75,20,0.017
