len,bits,seconds
20,1,9.22679901123047e-06
20,2,1.0933876037597656e-05
20,3,9.224891662597656e-06
20,4,8.337974548339844e-06
20,5,8.255958557128906e-06
20,6,8.208751678466797e-06
20,7,8.324146270751953e-06
20,8,8.44120979309082e-06
20,9,8.44120979309082e-06
20,10,8.67605209350586e-06
20,11,9.324073791503906e-06
20,12,8.603096008300782e-06
20,13,9.2620849609375e-06
20,14,8.65793228149414e-06
20,15,8.65483283996582e-06
20,16,8.607864379882812e-06
20,17,8.776903152465821e-06
20,18,9.154796600341798e-06
20,19,8.902788162231446e-06
20,20,9.020805358886718e-06
20,21,8.957862854003907e-06
20,22,1.0978937149047851e-05
20,23,9.245872497558594e-06
20,24,9.019851684570313e-06
20,25,9.058713912963867e-06
20,26,9.080171585083008e-06
20,27,8.959054946899414e-06
20,28,9.197711944580079e-06
20,29,8.928060531616212e-06
20,30,9.099960327148437e-06
20,31,9.817838668823243e-06
20,32,9.912252426147462e-06
20,33,9.737014770507813e-06
20,34,9.772062301635743e-06
20,35,1.0066747665405273e-05
20,36,9.843826293945312e-06
20,37,1.0942220687866212e-05
20,38,9.732723236083985e-06
20,39,9.737968444824219e-06
20,40,9.797096252441406e-06
20,41,9.661197662353515e-06
20,42,9.809017181396485e-06
20,43,1.017904281616211e-05
20,44,1.0201215744018554e-05
20,45,1.0015010833740234e-05
20,46,9.735107421875e-06
20,47,1.004791259765625e-05
20,48,9.783744812011719e-06
20,49,9.624004364013672e-06
20,50,9.660959243774414e-06
20,51,9.723186492919921e-06
20,52,9.796142578125e-06
20,53,9.677886962890625e-06
20,54,9.826183319091797e-06
20,55,9.87696647644043e-06
20,56,1.1406183242797852e-05
20,57,1.3632059097290039e-05
20,58,1.0377883911132812e-05
20,59,1.05133056640625e-05
20,60,1.1243820190429687e-05
20,61,1.306295394897461e-05
20,62,1.2525081634521484e-05
20,63,1.178431510925293e-05
20,64,1.2800931930541993e-05
20,65,1.9520044326782228e-05
20,66,1.8738985061645506e-05
20,67,1.5438079833984374e-05
20,68,1.3489723205566406e-05
20,69,1.1538982391357423e-05
20,70,1.291966438293457e-05
20,71,1.095294952392578e-05
20,72,1.0740995407104493e-05
20,73,1.050114631652832e-05
20,74,9.887933731079101e-06
20,75,1.0138988494873048e-05
20,76,1.0490179061889649e-05
20,77,1.001286506652832e-05
20,78,9.835958480834962e-06
20,79,9.958028793334962e-06
20,80,9.956836700439453e-06
20,81,9.840726852416992e-06
20,82,9.909868240356445e-06
20,83,9.948968887329101e-06
20,84,1.031780242919922e-05
20,85,9.796142578125e-06
20,86,1.0686159133911132e-05
20,87,1.0155200958251953e-05
20,88,9.944200515747071e-06
20,89,1.0107994079589844e-05
20,90,9.865045547485352e-06
20,91,1.0055303573608398e-05
20,92,9.979963302612305e-06
20,93,1.0065793991088867e-05
20,94,9.979009628295898e-06
20,95,1.0341882705688477e-05
20,96,1.0122060775756836e-05
20,97,9.93800163269043e-06
20,98,1.0082960128784179e-05
20,99,9.895801544189453e-06
20,100,1.0206222534179687e-05
20,101,9.931087493896485e-06
20,102,9.955167770385743e-06
20,103,1.0289192199707031e-05
20,104,9.936094284057617e-06
20,105,9.944915771484376e-06
20,106,9.944915771484376e-06
20,107,9.930133819580078e-06
20,108,1.0084867477416992e-05
20,109,1.056528091430664e-05
20,110,1.0052204132080078e-05
20,111,1.0225772857666016e-05
20,112,1.0017156600952149e-05
20,113,9.867191314697266e-06
20,114,9.889841079711914e-06
20,115,1.0505914688110351e-05
20,116,1.2279987335205078e-05
20,117,9.887218475341797e-06
20,118,9.917974472045898e-06
20,119,9.958028793334962e-06
20,120,1.0038137435913086e-05
20,121,1.0313987731933593e-05
20,122,1.0606050491333008e-05
20,123,1.204395294189453e-05
20,124,1.0573148727416992e-05
20,125,1.0375022888183593e-05
20,126,1.0148048400878906e-05
20,127,1.019597053527832e-05
20,128,1.0329008102416992e-05
20,129,9.867191314697266e-06
20,130,1.1368989944458008e-05
20,131,9.958028793334962e-06
20,132,9.903907775878906e-06
20,133,9.914875030517578e-06
20,134,1.0057926177978516e-05
20,135,9.822845458984376e-06
